id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
3,COMP_M,1,1_33,1_(23-33),65,85,68,141,1_23,82.004158004158,589.9925315227507,671.9966895269088,516.9925301749461,589.9925315227507
15,COMP_M,15,15_190,M.USER.APP.15,23,382,199,199,None,466.33644859813086,592.3364485981308,1058.6728971962616,231.0,231.0
40,COMP_M,13,13_168,M.USER.APP.13,19,352,187,169,None,62.032822757111596,595.0000004557043,657.0328232128159,567.0,595.0000004557043
39,COMP_M,17,17_212,17_(211-212),436,426,169,86,17_211,35.983122362869196,600.6006571749531,636.5837795378222,566.6006564551423,600.6006571749531
19,COMP_M,7,7_109,7_(102-109),206,217,164,146,7_102,243.32124352331607,600.9970512660885,844.3182947894046,556.9970501806135,600.9970512660885
28,COMP_M,9,9_134,9_(128-134),284,266,195,18,9_128,110.38387096774194,603.2697875701318,713.6536585378738,464.64028776978415,603.2697875701318
28,COMP_M,9,9_131,9_(129-131),256,261,4,131,9_129,158.3409090909091,607.532433312283,765.8733424031922,582.5324325101087,607.532433312283
39,COMP_M,17,17_215,17_(211-215),436,432,169,137,17_211,117.94152046783626,608.6006575822685,726.5421780501047,566.6006564551423,608.6006575822685
19,COMP_M,7,7_113,7_(102-113),206,224,164,130,7_102,42.50691823899371,609.997052557989,652.5039707969828,556.9970501806135,609.997052557989
46,COMP_M,6,6_80,M.USER.APP.6,8,198,194,194,None,29.482245131729666,612,641.4822451317297,612.0,612.0
4,COMP_M,8,8_127,8_(118-127),235,251,64,194,8_118,32.936998854524624,612.1209896966013,645.057988551126,570.1209887634174,612.1209896966013
3,COMP_M,1,1_32,1_(25-32),67,81,45,65,1_25,52.377938517179025,614.1490891635133,666.5270276806923,589.1490880917412,614.1490891635133
35,COMP_M,2,2_40,2_(39-40),97,98,160,6,2_39,110.5793991416309,617.7285193479514,728.3079184895823,596.7285184959953,617.7285193479514
30,COMP_M,16,16_208,16_(207-208),424,417,193,153,16_207,3.7864786478647865,618.2697879634769,622.0562666113417,554.7874037879507,618.2697879634769
28,COMP_M,9,9_139,9_(128-139),284,276,195,181,9_128,64.84842883548983,619.2697877438685,684.1182165793583,464.64028776978415,619.2697877438685
28,COMP_M,9,9_137,9_(132-137),263,272,133,73,9_132,65.78472222222223,620.1994250060616,685.9841472282837,591.1994244249564,620.1994250060616
13,COMP_M,0,0_9,0_(7-9),40,44,198,171,0_7,130.54925373134327,628.9341341039008,759.483387835244,541.9341309488327,628.9341341039008
28,COMP_M,9,9_141,9_(128-141),284,281,195,66,9_128,74.4372197309417,631.2697894390825,705.7070091700242,464.64028776978415,631.2697894390825
25,COMP_M,18,18_222,18_(221-222),440,442,166,175,18_221,185.76282051282053,639.5401785121346,825.3029990249552,598.5401778958546,639.5401785121346
12,COMP_M,12,12_164,12_(163-164),318,322,119,116,12_163,49.121649484536086,641.0823524189586,690.2040019034947,595.0823514842277,641.0823524189586
13,COMP_M,0,0_12,0_(7-12),40,51,198,159,0_7,227.01666666666668,644.9341334561684,871.9508001228351,541.9341309488327,644.9341334561684
25,COMP_M,18,18_230,18_(221-230),440,455,166,188,18_221,43.51219512195122,645.5401790075991,689.0523741295503,598.5401778958546,645.5401790075991
35,COMP_M,2,2_42,2_(39-42),97,103,160,131,2_39,141.35714285714286,647.7285196283526,789.0856624854955,596.7285184959953,647.7285196283526
12,COMP_M,12,12_162,12_(158-162),311,316,61,60,12_158,56.97303921568628,654.9648474170226,711.9378866327089,636.9648468828753,654.9648474170226
32,COMP_M,8,8_114,M.USER.APP.8,10,253,187,195,None,191.41726618705036,657.2517996626474,848.6690658496977,414.0,472.0000018431505
5,COMP_M,8,8_115,8_(114-115),253,231,195,194,8_114,40.04810996563574,657.2697889745046,697.3178989401404,465.834533475597,657.2697889745046
35,COMP_M,2,2_48,2_(39-48),97,112,160,75,2_39,81.41981981981982,657.7285200450316,739.1483398648514,596.7285184959953,657.7285200450316
39,COMP_M,17,17_216,17_(212-216),426,433,86,99,17_212,133.89400921658986,658.5837806832754,792.4777898998653,636.5837795378222,658.5837806832754
25,COMP_M,18,18_233,18_(227-233),449,461,135,191,18_227,62.562599049128366,659.3044586367189,721.8670576858473,620.3044573693575,659.3044586367189
39,COMP_M,17,17_213,17_(212-213),426,428,86,46,17_212,34.38428874734607,662.5837803794979,696.968069126844,636.5837795378222,662.5837803794979
12,COMP_M,12,12_153,12_(150-153),301,305,43,185,12_150,29.265895953757227,663.4364530762443,692.7023490300015,624.4364522926537,663.4364530762443
12,COMP_M,12,12_167,12_(158-167),311,327,61,84,12_158,127.1225,664.9648479859953,792.0873479859954,636.9648468828753,664.9648479859953
30,COMP_M,16,16_209,16_(208-209),417,419,153,158,16_208,44.53835978835979,667.0562679076505,711.5946276960103,622.0562666113417,667.0562679076505
37,COMP_M,5,5_75,M.USER.APP.5,7,165,195,195,None,147.26978417266187,667.8093525179855,815.0791366906474,505.0,505.0
12,COMP_M,12,12_151,12_(150-151),301,302,43,159,12_150,122.25,668.4364533154215,790.6864533154215,624.4364522926537,668.4364533154215
43,COMP_M,4,4_65,4_(63-65),159,141,194,18,4_63,164.86451612903227,668.498282909695,833.3627990387273,613.4982817869416,668.498282909695
2,COMP_M,3,3_54,3_(53-54),119,120,20,20,3_53,175.3582089552239,668.5206099503146,843.8788189055384,668.5206099503146,668.5206099503146
5,COMP_M,8,8_117,8_(114-117),253,234,195,134,8_114,291.3515625,670.2697884715043,961.6213509715043,465.834533475597,670.2697884715043
43,COMP_M,4,4_64,4_(63-64),159,140,194,163,4_63,52.47222222222222,670.4982837998202,722.9705060220424,613.4982817869416,670.4982837998202
11,COMP_M,15,15_192,15_(190-192),382,387,199,62,15_190,69.64893617021276,672.3364503021099,741.9853864723227,592.3364485981308,672.3364503021099
39,COMP_M,17,17_214,17_(212-214),426,430,86,70,17_212,26.49173098125689,672.5837804141531,699.07551139541,636.5837795378222,672.5837804141531
13,COMP_M,0,0_13,0_(7-13),40,52,198,155,0_7,64.83420365535248,672.9341365138126,737.7683401691651,541.9341309488327,672.9341365138126
11,COMP_M,15,15_191,15_(190-191),382,385,199,119,15_190,56.14727085478888,673.3364501105224,729.4837209653112,592.3364485981308,673.3364501105224
35,COMP_M,2,2_50,2_(39-50),97,114,160,114,2_39,203.4142857142857,673.728519782732,877.1428054970177,596.7285184959953,673.728519782732
12,COMP_M,12,12_154,12_(150-154),301,306,43,14,12_150,68.1701030927835,676.4364531656141,744.6065562583976,624.4364522926537,676.4364531656141
5,COMP_M,8,8_124,8_(114-124),253,246,195,91,8_114,173.36363636363637,679.2697886773316,852.633425040968,465.834533475597,679.2697886773316
3,COMP_M,1,1_30,1_(24-30),66,78,71,159,1_24,131.75555555555556,680.4364540548728,812.1920096104284,617.7191692925121,680.4364540548728
5,COMP_M,8,8_125,8_(114-125),253,249,195,191,8_114,64.46592709984152,682.2697898387416,746.7357169385832,465.834533475597,682.2697898387416
